Groups:
adc_debug_status_o =, adc_debug_status_o[11], adc_debug_status_o[10], adc_debug_status_o[9], adc_debug_status_o[8], adc_debug_status_o[7], adc_debug_status_o[6], adc_debug_status_o[5], adc_debug_status_o[4], adc_debug_status_o[3], adc_debug_status_o[2], adc_debug_status_o[1], adc_debug_status_o[0],  binary
adc_debug_sample_o =, adc_debug_sample_o[11], adc_debug_sample_o[10], adc_debug_sample_o[9], adc_debug_sample_o[8], adc_debug_sample_o[7], adc_debug_sample_o[6], adc_debug_sample_o[5], adc_debug_sample_o[4], adc_debug_sample_o[3], adc_debug_sample_o[2], adc_debug_sample_o[1], adc_debug_sample_o[0],  binary

Data:
time unit: s, adc_debug_status_o, adc_debug_status_o[11], adc_debug_status_o[10], adc_debug_status_o[9], adc_debug_status_o[8], adc_debug_status_o[7], adc_debug_status_o[6], adc_debug_status_o[5], adc_debug_status_o[4], adc_debug_status_o[3], adc_debug_status_o[2], adc_debug_status_o[1], adc_debug_status_o[0], adc_debug_sample_o, adc_debug_sample_o[11], adc_debug_sample_o[10], adc_debug_sample_o[9], adc_debug_sample_o[8], adc_debug_sample_o[7], adc_debug_sample_o[6], adc_debug_sample_o[5], adc_debug_sample_o[4], adc_debug_sample_o[3], adc_debug_sample_o[2], adc_debug_sample_o[1], adc_debug_sample_o[0], 
0, XXXXXXXXXXXX, X, X, X, X, X, X, X, X, X, X, X, X, XXXXXXXXXXXX, X, X, X, X, X, X, X, X, X, X, X, X, 
78, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 000001010110, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 
79, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 000001010011, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 
80, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 000001001110, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 
81, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 000001001010, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 
82, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 000001000010, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 
83, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 000000111010, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 
84, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 000000101111, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 
85, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 000000100110, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 
86, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 000000011011, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 
87, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 000000001110, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 
88, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 000000000011, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 
89, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111111110111, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 
90, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111111100111, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 
91, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111111011010, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 
92, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111111001111, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 
93, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111111000011, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 
94, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111110110110, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 
95, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111110101010, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 
96, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111110011111, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 
97, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111110010111, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 
98, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111110010010, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 
99, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111110001011, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 
100, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111110000110, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 
101, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111110000110, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 
102, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111110000010, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 
103, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111110000011, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 
104, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111110000111, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 
105, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111110000111, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 
106, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111110001111, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 
107, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111110010110, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 
108, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111110011110, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 
109, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111110100111, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 
110, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111110110011, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 
111, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111110111110, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 
112, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111111000111, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 
113, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111111010011, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 
114, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111111100011, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 
115, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111111101110, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 
116, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111111111110, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 
