frequency_hz,amplitude,amplitude_db
9996875.000,1.39727531084e-09,-177.094360293
10000000.000,9.24965440537e-10,-180.677489870
10003125.000,4.18628097778e-10,-187.563432515
10006250.000,1.16127999388e-10,-198.701261115
10009375.000,6.73109326165e-10,-183.438287842
10012500.000,1.24561524674e-09,-178.092321690
10015625.000,1.82652434688e-09,-174.767490689
10018750.000,2.40838826066e-09,-172.365469967
10021875.000,2.98353173516e-09,-170.505386766
10025000.000,3.54415756991e-09,-169.009739561
10028125.000,4.08245498909e-09,-167.781571897
10031250.000,4.59070994122e-09,-166.762402935
10034375.000,5.06141577542e-09,-165.914559713
10037500.000,5.48738272911e-09,-165.212694959
10040625.000,5.86184465742e-09,-164.639313896
10043750.000,6.17856146341e-09,-164.182252573
10046875.000,6.43191573255e-09,-163.833193082
10050000.000,6.61700214263e-09,-163.586774495
10053125.000,6.72970830729e-09,-163.440075189
10056250.000,6.76678582252e-09,-163.392351386
10059375.000,6.7259104066e-09,-163.444978441
10062500.000,6.60573017211e-09,-163.601583403
10065625.000,6.40590122008e-09,-163.868395250
10068750.000,6.12710992082e-09,-164.254886566
10071875.000,5.77108142315e-09,-164.774855965
10075000.000,5.34057411776e-09,-165.448241066
10078125.000,4.83935998644e-09,-166.304241415
10081250.000,4.2721909432e-09,-167.386986900
10084375.000,3.64475148837e-09,-168.766641560
10087500.000,2.96359817587e-09,-170.563613624
10090625.000,2.23608658642e-09,-173.010227672
10093750.000,1.47028667444e-09,-176.651959577
10096875.000,6.74887525849e-10,-183.415371980
10100000.000,1.4090728386e-10,-197.021331130
10103125.000,9.67492399245e-10,-180.287048763
10106250.000,1.79498001682e-09,-174.918807640
10109375.000,2.6133242803e-09,-171.656133930
10112500.000,3.41244911098e-09,-169.338676329
10115625.000,4.18237777612e-09,-167.571534836
10118750.000,4.91336246562e-09,-166.172423923
10121875.000,5.59601213852e-09,-165.042427043
10125000.000,6.22141690023e-09,-164.122213908
10128125.000,6.78126722253e-09,-163.373782830
10131250.000,7.26796635897e-09,-162.771741831
10134375.000,7.67473440688e-09,-162.298732897
10137500.000,7.99570255659e-09,-161.942867404
10140625.000,8.22599619741e-09,-161.696229912
10143750.000,8.3618056998e-09,-161.553998564
10146875.000,8.40044383305e-09,-161.513955352
10150000.000,8.34038897805e-09,-161.576273886
10153125.000,8.18131346129e-09,-161.743539347
10156250.000,7.92409654349e-09,-162.021004837
10159375.000,7.5708217991e-09,-162.417139521
10162500.000,7.12475883189e-09,-162.944596633
10165625.000,6.59032948548e-09,-163.621857444
10168750.000,5.97305891346e-09,-164.476064034
10171875.000,5.27951208414e-09,-165.548124235
10175000.000,4.51721649339e-09,-166.902581896
10178125.000,3.69457204631e-09,-168.648717201
10181250.000,2.82074924967e-09,-170.992710374
10184375.000,1.90557701865e-09,-174.399469869
10187500.000,9.59421540655e-10,-180.359810702
10190625.000,6.94221899521e-12,-223.170033809
10193750.000,9.82464702075e-10,-180.153660879
10196875.000,1.955959858e-09,-174.172801249
10200000.000,2.9162453472e-09,-170.703518822
10203125.000,3.8522829877e-09,-168.285636344
10206250.000,4.75331757794e-09,-166.460063374
10209375.000,5.609012252e-09,-165.022272227
10212500.000,6.40957855647e-09,-163.863410507
10215625.000,7.14589950987e-09,-162.918861908
10218750.000,7.8096439988e-09,-162.147375258
10221875.000,8.39337097079e-09,-161.521271630
10225000.000,8.89062202743e-09,-161.021357056
10228125.000,9.29600117269e-09,-160.634076603
10231250.000,9.60524064128e-09,-160.349835005
10234375.000,9.81525192608e-09,-160.161970979
10237500.000,9.92416131544e-09,-160.066123699
10240625.000,9.93132947394e-09,-160.059852201
10243750.000,9.83735479965e-09,-160.142433296
10246875.000,9.64406053155e-09,-160.314801448
10250000.000,9.35446579243e-09,-160.579620176
10253125.000,8.97274096923e-09,-160.941497391
10256250.000,8.50414806517e-09,-161.407383739
10259375.000,7.95496683977e-09,-161.987232527
10262500.000,7.33240777671e-09,-162.695067813
10265625.000,6.64451307381e-09,-163.550736794
10268750.000,5.90004704049e-09,-164.582890515
10271875.000,5.10837741323e-09,-165.834340480
10275000.000,4.27934923845e-09,-167.372445384
10278125.000,3.42315307275e-09,-169.311473603
10281250.000,2.55018931982e-09,-171.868551548
10284375.000,1.67093059116e-09,-175.540831798
10287500.000,7.95783991164e-10,-181.984096037
10290625.000,6.50447680626e-11,-203.735752612
10293750.000,9.0168354369e-10,-180.898917128
10296875.000,1.70472040694e-09,-175.366936799
10300000.000,2.46532301452e-09,-172.162523400
10303125.000,3.1753490665e-09,-169.964170514
10306250.000,3.82744634113e-09,-168.341817784
10309375.000,4.41514094662e-09,-167.101108554
10312500.000,4.93291260132e-09,-166.137931581
10315625.000,5.37625593881e-09,-165.390401294
10318750.000,5.74172703667e-09,-164.819149157
10321875.000,6.02697458322e-09,-164.398012800
10325000.000,6.23075531997e-09,-164.109186061
10328125.000,6.35293361803e-09,-163.940513652
10331250.000,6.3944652906e-09,-163.883915313
10334375.000,6.35736596171e-09,-163.934455754
10337500.000,6.2446645407e-09,-164.089817734
10340625.000,6.06034257295e-09,-164.350056516
10343750.000,5.80926043921e-09,-164.717583058
10346875.000,5.49707157166e-09,-165.197372170
10350000.000,5.13012602881e-09,-165.797439314
10353125.000,4.71536493403e-09,-166.529693810
10356250.000,4.2602074067e-09,-167.411385138
10359375.000,3.77243173661e-09,-168.467572204
10362500.000,3.26005263262e-09,-169.735507766
10365625.000,2.73119642906e-09,-171.272941281
10368750.000,2.19397617636e-09,-173.175361852
10371875.000,1.65636852819e-09,-175.616860598
10375000.000,1.12609432027e-09,-178.968504640
10378125.000,6.10504671793e-10,-184.286220167
10381250.000,1.16474361158e-10,-198.675393258
10384375.000,3.49695890632e-10,-189.126189423
10387500.000,7.82366729922e-10,-182.131792523
10390625.000,1.17663573562e-09,-178.587159316
10393750.000,1.52840008845e-09,-176.315258917
10396875.000,1.83440539312e-09,-174.730093629
10400000.000,2.09227991848e-09,-173.587604265
10403125.000,2.30055375522e-09,-172.763352289
10406250.000,2.45866262999e-09,-172.186021194
10409375.000,2.56693635821e-09,-171.811697972
10412500.000,2.6265721713e-09,-171.612213229
10415625.000,2.63959339538e-09,-171.569259339
10418750.000,2.60879420431e-09,-171.671203581
10421875.000,2.53767139864e-09,-171.911292302
10425000.000,2.43034438193e-09,-172.286643643
10428125.000,2.29146470931e-09,-172.797736538
10431250.000,2.12611676442e-09,-173.448257762
10434375.000,1.9397112802e-09,-174.245258172
10437500.000,1.73787355356e-09,-175.199636514
10440625.000,1.52632830908e-09,-176.327040815
10443750.000,1.31078324005e-09,-177.649382405
10446875.000,1.09681330127e-09,-179.197345828
10450000.000,8.89747833661e-10,-181.014661215
10453125.000,6.9456257951e-10,-183.165772372
10456250.000,5.15778586507e-10,-185.750733847
10459375.000,3.57369906904e-10,-188.937640420
10462500.000,2.22681871764e-10,-193.046302737
10465625.000,1.14361563964e-10,-198.834398281
10468750.000,3.43019239868e-11,-209.293630396
10471875.000,1.63992900872e-11,-215.703499036
10475000.000,3.74647089428e-11,-208.527552740
10478125.000,2.94460055484e-11,-210.619472208
10481250.000,6.28444386474e-12,-224.034662974
10484375.000,6.75590374011e-11,-203.406330940
10487500.000,1.51457407598e-10,-196.394189620
10490625.000,2.54365399804e-10,-191.890839283
10493750.000,3.7204979698e-10,-188.587978562
10496875.000,4.99747715722e-10,-186.024983646
10500000.000,6.32269305056e-10,-183.981958030
10503125.000,7.64112100169e-10,-182.336858459
10506250.000,8.89585124618e-10,-181.016249757
10509375.000,1.00294059863e-09,-179.974495765
10512500.000,1.09851090584e-09,-179.183912542
10515625.000,1.17084829584e-09,-178.629987437
10518750.000,1.21486466526e-09,-178.309441987
10521875.000,1.22596866248e-09,-178.230412617
10525000.000,1.20019730845e-09,-178.414947030
10528125.000,1.13433931871e-09,-178.905140281
10531250.000,1.02604735228e-09,-179.776651920
10534375.000,8.7393650015e-10,-181.170402437
10537500.000,6.7766646642e-10,-183.379680088
10540625.000,4.38005079574e-10,-187.170417058
10543750.000,1.56871008323e-10,-196.089146238
10546875.000,1.62646163914e-10,-195.775123506
10550000.000,5.1629002408e-10,-185.742125329
10553125.000,8.98666727608e-10,-180.928026748
10556250.000,1.30330045691e-09,-177.699109050
10559375.000,1.72271525288e-09,-175.275730021
10562500.000,2.14854306223e-09,-173.357118751
10565625.000,2.57165736345e-09,-171.795737908
10568750.000,2.98233122194e-09,-170.508882497
10571875.000,3.37041811627e-09,-169.446324390
10575000.000,3.7255533634e-09,-168.576184231
10578125.000,4.03737345054e-09,-167.878021544
10581250.000,4.29575009375e-09,-167.339219835
10584375.000,4.49103535189e-09,-166.953070526
10587500.000,4.61431368045e-09,-166.717857711
10590625.000,4.65765638876e-09,-166.636651080
10593750.000,4.61437358859e-09,-166.717744941
10596875.000,4.47925839792e-09,-166.975877668
10600000.000,4.24881789446e-09,-167.434637650
10603125.000,3.92148510463e-09,-168.130988606
10606250.000,3.49780618026e-09,-169.124085185
10609375.000,2.98059684343e-09,-170.513935256
10612500.000,2.37506220189e-09,-172.486500238
10615625.000,1.68887412644e-09,-175.448054353
10618750.000,9.32200560756e-10,-180.609812803
10621875.000,1.1768140485e-10,-198.585843115
10625000.000,7.39654041838e-10,-182.619427304
10628125.000,1.62253264713e-09,-175.796131119
10631250.000,2.51165007415e-09,-172.000817342
10634375.000,3.38595391119e-09,-169.406379154
10637500.000,4.22300006253e-09,-167.487578243
10640625.000,4.99938439866e-09,-166.021669388
